trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.02, 'e': 0.3230332564222529}",30,7,-46.02829118097404,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
114,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,0,-23.568276276294945,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.02, 'e': 0.31663676937905316}",20,0,-0.30955604875574605,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.02, 'e': 0.3134861808826053}",25,0,-64.32359529490319,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
117,False,"{'a': 0.02, 'e': 0.31036694126548503}",30,0,-72.1055869562366,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",1
118,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,15,-17.902834691104122,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.3042212640667041}",20,0,-25.505567131488306,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.02, 'e': 0.30119421191220214}",30,12,7.404765026218512,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.2981972794298874}",35,15,13.224181767887417,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.2952301669240142}",25,18,8.87507097430026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.2922925776808594}",25,0,-85.55422297887812,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
124,False,"{'a': 0.02, 'e': 0.2893842179390506}",25,5,-18.647359828868872,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.2865047968601901}",25,0,-59.39236513847827,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,3,24.18403391007939,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
